0xff8abeec,ExpCtrlTool.Keep_FW
0xff8abf08,ExpCtrlTool.KeepProg_FW
0xff8abf24,ExpCtrlTool.Shift_FW
0xff8abf38,ExpCtrlTool.Fix_FW
0xff8abf4c,ExpCtrlTool.ND_FW
0xff8abf64,ExpCtrlTool.RegManualExpDiff_FW
0xff8abf7c,ExpCtrlTool.UnRegManualExpDiff_FW
0xff8abf8c,ExpCtrlTool.GetAvLimit_FW
0xff8abfa4,ExpCtrlTool.GetAvLimitWithoutTv_FW
0xff8abfbc,ExpCtrlTool.GetTvLimit_FW
0xff8abfd4,ExpCtrlTool.GetShiftLimit_FW
0xff8abfec,ExpCtrlTool.GetShiftedAvTv_FW
0xff8ac008,ExpCtrlTool.SetExpMode_FW
0xff8ac044,ExpCtrlTool.BoostUpAE_FW
0xff8ac078,ExpCtrlTool.BoostDownAE_FW
0xff8ac0ac,j_ExpCtrlTool.IsEnableBoostUpAE_FW
0xff8af7b0,task_ExpDrv
0xff8af7b0,task_ExpDrvTask
0xff8b275c,task_WBCtrl
0xff8b361c,task_OBCtrlTask
0xff8b52ec,task_DevelopModule
0xff8b56b4,task_EFChargeT
0xff8b5978,EF.IsChargeFull_FW
0xff8b5978,IsStrobeChargeCompleted
0xff8b750c,ReloadCdsAdjustment_FW
0xff8b991c,task_SsgMainTask
0xff8b9b44,task_SsgPeriodTask
0xff8baaf8,EnableOBClampField_FW
0xff8bab0c,DisableOBClampField_FW
0xff8bee84,task_TgTask
0xff8c250c,LiveImageTool.GetDzoomPosition_FW
0xff8c2660,GetVRAMHPixelsSize
0xff8c2660,GetVRAMHPixelsSize_FW
0xff8c266c,GetVRAMVPixelsSize
0xff8c266c,GetVRAMVPixelsSize_FW
0xff8c2678,GetMovieJpegVRAMHPixelsSize_FW
0xff8c2684,GetMovieJpegVRAMVPixelsSize_FW
0xff8c272c,StopContinuousVRAMData_FW
0xff8c3070,task_SyncPeriod
0xff8c30f8,task_SynchTask
0xff8c6180,task_SesnMngr
0xff8c6ca0,task_TimerUtility
0xff8c7394,COMFACHK_StartService_FW
0xff8c73e4,COMFACHK_StopService_FW
0xff8c7484,COMFACHK_StartSendData_FW
0xff8c74c0,COMFACHK_StartSendLargeData_FW
0xff8c7524,COMFACHK_GetTransferTime_FW
0xff8c7584,COMFACHK_SetSendDataSize_FW
0xff8cc2b0,add_ptp_handler
0xff8d2dd4,task_PreLoadTask
0xff8d754c,task_TrnsCtrlTask
0xff8da0e0,task_RapiRevr
0xff8dc734,InitializeDCPClassFunctions_FW
0xff8dc7e8,TerminateDCPClassFunctions_FW
0xff8e7b3c,LcdCon_SetLcdDriver_FW
0xff8e7ed8,LcdCon_SetLcdBackLightBrightness_FW
0xff8e7f14,LcdCon_SetLcdBackLightParameter_FW
0xff8e7f6c,LcdCon_GetLcdBackLightParameter_FW
