0xffa49a38,FreeMemory_FW
0xff827f7c,FreeUncacheableMemory
0xff82373c,Fseek_Fut
0xff82373c,Fseek_Fut_FW
0xff82369c,Fwrite_Fut
0xff82369c,Fwrite_Fut_FW
0xff847cbc,GetAdChValue_FW
0xffaab9f4,GetAdjAFInteg_FW
0xff84edac,GetAdjTableMapVersion_FW
0xff84edbc,GetAdjTableValueVersion_FW
0xff84ed78,GetAdjTableVersion_FW
0xff847cb4,GetAdVBattBottom_FW
0xffaa7444,GetAEIntegralServiceMode_FW
0xffaa70f0,GetAEIntegralValueWithFix_FW
0xffaa7438,GetAEIntegValueBit_FW
0xffaa6e40,GetAEIntegWinData_FW
0xffaa6f80,GetAEIntegWinDataWithMode_FW
0xffaa7214,GetAllAEIntegralAllValueWithFix_FW
0xff821c1c,GetBatteryCoverClose_FW
0xff84ce3c,GetBatteryTemperature
0xff84ce3c,GetBatteryTemperature_FW
0xff875194,GetBuildDate_FW
0xff87519c,GetBuildTime_FW
0xffaafd74,GetCaptureInfoData_FW
0xff84cdcc,GetCCDTemperature
0xff84cdcc,GetCCDTemperature_FW
0xffaa7d80,GetCdsGainValue_FW
0xffaa7e70,GetCdsPreGain_FW
0xffaa7ec8,GetCdsPreGainReg_FW
0xff81bb6c,GetCh_FW
0xffaae548,GetContinuousMovieJpegVRAMData_FW
0xffaadbe4,GetContinuousVRAMData_FW
0xffaae388,GetContinuousVRAMDataWithRingBuffer_FW
0xffaa7c08,GetCurrentAdjImgDriveType_FW
0xff9303b0,GetCurrentAvValue
0xff9303b0,GetCurrentAvValue_FW
0xff884c64,GetCurrentCaptureModeType_FW
0xff84cdcc,GetCurrentCcdTemp_FW
0xff898eec,GetCurrentExposureTime_FW
0xff92f4dc,GetCurrentFocusLensPosition_FW
0xff92f4dc,GetCurrentFocusPosition_FW
0xffaa7c14,GetCurrentImgDrvMode_FW
0xff904134,GetCurrentMaximumLogSize_FW
0xff84ceac,GetCurrentOptTemp_FW
0xff898c14,GetCurrentShutterSpeed_FW
0xff92f474,GetCurrentTargetDistance_FW
0xffaa96a4,GetCurrentZoomLensDirection_FW
0xff933afc,GetCurrentZoomLensPoint_FW
0xff933ad4,GetCurrentZoomLensPosition_FW
0xff933afc,GetCurrentZoomPoint_FW
0xff933ad4,GetCurrentZoomPosition_FW
0xffaaebf0,GetDay_FW
0xff853b98,GetdccdFilterValue_FW
0xff853b04,GetdccdImage_FW
0xff9e8248,GetDefectCount_FW
0xff821c18,GetDialEventId_FW
0xff859648,GetDrive_ClusterSize
0xff8596b0,GetDrive_FreeClusters
0xff85967c,GetDrive_TotalClusters
0xff86e0f0,GetEventFlagValue
0xffaac998,GetExStrobeID_FW
0xff8751a4,GetFirmwareVersion_FW
0xff92f944,GetFocusDefaultResetPosition_FW
0xffa3b730,GetFocusLensCurrentPosition_FW
0xffa3bbe4,GetFocusLensDriveVoltage_FW
