0xffd1a568,GetLogToFile_FW
0xffe662d4,GetLoopGain_FW
0xffe05ed8,GetLoopGainAdjValue_FW
0xffe05e68,GetLoopGainCalcData_FW
0xffe05c20,GetLPFParallelBest_FW
0xffcae92c,GetMacroSupportZoomPoint_FW
0xffe05b18,GetMechaDSPVersion_FW
0xffd0f4c4,GetMechaShutterMoveTime_FW
0xffd0f4ec,GetMechaShutterStatus_FW
0xffc0a760,GetMemInfo
0xffe63730,GetMinute_FW
0xffe636b4,GetMonth_FW
0xffcba72c,GetMovieJpegVRAMHPixelsSize_FW
0xffcba738,GetMovieJpegVRAMVPixelsSize_FW
0xffc290b8,GetNumberOfPostedMessages
0xffe5c5e0,GetObClampValue_FW
0xffcee084,GetOnlyAEIntegData_FW
0xffc466f4,GetOpticalTemperature
0xffc466f4,GetOpticalTemperature_FW
0xffd36c60,GetParameterData
0xffe62dd4,GetPixelsOfViewangle_FW
0xffc6c614,GetPropertyCase
0xffc23ca0,GetSDDetect_FW
0xffc23ca8,GetSDProtect
0xffc23ca8,GetSDProtect_FW
0xffe63758,GetSecond_FW
0xffc6f2ec,GetSelfControllerHandle_FW
0xffc0f0a4,GetSemaphoreValue
0xffe5cc30,GetShutterSpeedRegularMaxLimit_FW
0xffe5cc48,GetShutterSpeedRegularMinLimit_FW
0xffc0ee04,GetSRAndDisableInterrupt
0xffc0ffd8,GetStringWithPrompt_FW
0xffe625e8,GetSumYOfVRAMCenterLine_FW
0xffc23c34,GetSwitchStatus_FW
0xffe08208,GetSystemTime
0xffe08208,GetSystemTime_FW
0xffc4acd4,GetTestRecCrawAddress_FW
0xffc66ba8,GetTimeOfSystem_FW
0xffde04f8,GetTransparentMemory_FW
0xffde053c,GetTransparentMemoryPosition_FW
0xffde04e4,GetTransparentMemorySize_FW
0xffe6561c,GetUnpackCrwIntegralMultiValueForShading_FW
0xffe6524c,GetUnpackCrwIntegralValue_FW
0xffe654d4,GetUnpackCrwIntegralValueForColorShading_FW
0xffe6526c,GetUnpackCrwIntegralValueForShading_FW
0xffe5cc20,GetUserSetShutterSPeed_FW
0xffc22cf0,GetVBatVoltage_FW
0xffe62008,GetVideoOutType_FW
0xffcba714,GetVRAMHPixelsSize
0xffcba714,GetVRAMHPixelsSize_FW
0xffcba720,GetVRAMVPixelsSize
0xffcba720,GetVRAMVPixelsSize_FW
0xffe63684,GetYear_FW
0xffdfea64,GetZoomActuatorCurrentPosition_FW
0xffdfea40,GetZoomActuatorSpeedPPS_FW
0xffe5e874,GetZoomDefaultCommonDriveParam_FW
0xffe5e790,GetZoomDefaultDriveParam_FW
0xffd10438,GetZoomDrivingTime_FW
0xffd0fa4c,GetZoomLensCurrentPoint
0xffd0fa4c,GetZoomLensCurrentPoint_FW
0xffdff83c,GetZoomLensCurrentPosition
0xffd0fa24,GetZoomLensCurrentPosition_FW
0xffd10434,GetZoomLensMechaEdgePosition_FW
0xffe5e01c,GetZoomLensResetPlus_FW
0xffd0fe34,GetZoomLensTelePoint_FW
0xffe5e828,GetZoomNormalDriveParam_FW
0xffd0de20,GetZoomPiSensorLevel_FW
0xffe5e7dc,GetZoomResetDriveParam_FW
0xffe00c48,GetZoomResetSensorLevel_FW
0xffd0fe34,GetZoomTelePoint_FW
0xffc0f06c,GiveSemaphore
0xffc0f06c,GiveSemaphore_FW
0xffc7f8a0,GUISrv_StartGUISystem
0xffc7f8a0,GUISrv_StartGUISystem_FW
0xffc701c0,HardwareDefect_FW
0xffc70170,HardwareDefectWithRestart_FW
0xffe65ba4,HitISLensAgainstBottomEdge_FW
0xffe65b90,HitISLensAgainstLeftEdge_FW
0xffe65b7c,HitISLensAgainstRightEdge_FW
0xffe65bb8,HitISLensAgainstTopEdge_FW
0xffe65e9c,HitISMechaEdgeInOpenControl_FW
0xffcef674,InactivateAdjLog_FW
0xffd15d98,InitializeAdjustmentFunction_FW
0xffd15d28,InitializeAdjustmentSystem_FW
0xffc4c860,Initializedccd_FW
0xffe6583c,InitializeDefectAdjustment_FW
0xffe4bf44,InitializeDefectRec_FW
0xffc4c860,InitializeDigicon_FW
0xffe663c8,InitializeMechaDevice_FW
0xffde0690,InitializeSoundRec_FW
0xffc4bca8,InitializeTestRec_FW
0xffe5c818,IsAdjCdsMode_FW
0xffe056fc,ISAutoCenter_FW
0xffc46808,IsBatteryTemperature_FW
