0xffc5077c,GetBuildDate_FW
0xffc50784,GetBuildTime_FW
0xffe09974,GetCaptureInfoData_FW
0xffc2eb38,GetCCDTemperature,(stubs_entry_2.s)
0xffc2e8f0,GetCCDTemperature_FW
0xffe017b8,GetCdsGainValue_FW
0xffe018a8,GetCdsPreGain_FW
0xffe01900,GetCdsPreGainReg_FW
0xffc0c83c,GetCh_FW
0xffe07fe0,GetContinuousMovieJpegVRAMData_FW
0xffe0767c,GetContinuousVRAMData_FW
0xffe07e20,GetContinuousVRAMDataWithRingBuffer_FW
0xffd99a18,GetCurrentAdjImgDriveType_FW
0xffce0fe8,GetCurrentAvValue
0xffce0fe8,GetCurrentAvValue_FW
0xffc5b550,GetCurrentCaptureModeType_FW
0xffd99b6c,GetCurrentCcdTemp_FW
0xffc64d68,GetCurrentExposureTime_FW
0xffce0130,GetCurrentFocusLensPosition_FW
0xffce0130,GetCurrentFocusPosition_FW
0xffd99a24,GetCurrentImgDrvMode_FW
0xffcba860,GetCurrentMaximumLogSize_FW
0xffd99b88,GetCurrentOptTemp_FW
0xffc64a90,GetCurrentShutterSpeed_FW
0xffce00c8,GetCurrentTargetDistance_FW
0xffe030c8,GetCurrentZoomLensDirection_FW
0xffce3dac,GetCurrentZoomLensPoint_FW
0xffce3d84,GetCurrentZoomLensPosition_FW
0xffce3dac,GetCurrentZoomPoint_FW
0xffce3d84,GetCurrentZoomPosition_FW
0xffe08688,GetDay_FW
0xffc3521c,GetdccdFilterValue_FW
0xffc35188,GetdccdImage_FW
0xffd6c7a8,GetDefectCount_FW
0xffc11354,GetDialEventId_FW
0xffc3a924,GetDrive_ClusterSize
0xffc3a97c,GetDrive_FreeClusters
0xffc3a950,GetDrive_TotalClusters
0xffc15c98,GetEventFlagValue
0xffe06430,GetExStrobeID_FW
0xffc5078c,GetFirmwareVersion_FW
0xffce0598,GetFocusDefaultResetPosition_FW
0xffdb801c,GetFocusLensCurrentPosition_FW
0xffdb84a4,GetFocusLensDriveVoltage_FW
0xffdb856c,GetFocusLensHoldVoltage_FW
0xffdc1d38,GetFocusLensLoadCamTable_FW
0xffdc1ccc,GetFocusLensLoadSubjectDistance_FW
0xffdc1e1c,GetFocusLensMoveMaxPosition_FW
0xffdc1e34,GetFocusLensMoveMinPosition_FW
0xffdc1cc4,GetFocusLensPositionRatio_FW
0xffcdfd8c,GetFocusLensPullInMaxSpeed_FW
0xffdb78a0,GetFocusLensResetDefaultPosition_FW
0xffdb7890,GetFocusLensResetPosition_FW
0xffe1c454,GetFocusLensResetVoltage_FW
0xffdb8520,GetFocusLensSettingWaitVoltage_FW
0xffce00c8,GetFocusLensSubjectDistance
0xffdc1ca0,GetFocusLensSubjectDistance_FW
0xffce03d4,GetFocusLensSubjectDistanceFromLens
0xffdc1cbc,GetFocusLensSubjectDistanceNumber_FW
0xffce1800,GetFocusPiSensorLevel_FW
0xffce052c,GetFocusResetPosition_FW
0xffc3fdcc,GetFocusStartZoomPosition_FW
0xffe086b0,GetHour_FW
0xffce0fe8,GetIrisAv_FW
0xffc2c8ac,GetKbdState
0xffe08f54,GetLastVBatADLevel_FW
0xffc3fe0c,GetLensErrorStatus_FW
0xffcba804,GetLogData_FW
0xffcba80c,GetLogDataOnlyAddMemory_FW
0xffcec2a4,GetLogToFile_FW
0xffce1e8c,GetMechaShutterStatus_FW
0xffc03be8,GetMemInfo
0xffe086d8,GetMinute_FW
0xffe0865c,GetMonth_FW
0xffc8aa4c,GetMovieJpegVRAMHPixelsSize_FW
0xffc8aa58,GetMovieJpegVRAMVPixelsSize_FW
0xffc16100,GetNumberOfPostedMessages
0xffe01828,GetObClampValue_FW
0xffcb938c,GetOnlyAEIntegData_FW
0xffc2e9dc,GetOpticalTemperature
0xffc2e9dc,GetOpticalTemperature_FW
0xffd08d30,GetParameterData
0xffe07d7c,GetPixelsOfViewangle_FW
0xffc51944,GetPropertyCase
0xffc11330,GetSDDetect_FW
0xffc11338,GetSDProtect
0xffc11338,GetSDProtect_FW
0xffe08700,GetSecond_FW
0xffc54408,GetSelfControllerHandle_FW
0xffc0b958,GetSemaphoreValue
0xffe01ba0,GetShutterSpeedRegularMaxLimit_FW
0xffe01bb8,GetShutterSpeedRegularMinLimit_FW
0xffc0b6b8,GetSRAndDisableInterrupt
0xffc0c88c,GetStringWithPrompt_FW
0xffe07590,GetSumYOfVRAMCenterLine_FW
0xffc112c4,GetSwitchStatus_FW
0xffdc4608,GetSystemTime
0xffdc4608,GetSystemTime_FW
0xffd6c7c8,GetTestRecCrwAddress_FW
0xffc4be7c,GetTimeOfSystem_FW
0xffd9a11c,GetTransparentMemory_FW
0xffd9a160,GetTransparentMemoryPosition_FW
0xffd9a108,GetTransparentMemorySize_FW
0xffe0983c,GetUnpackCrwIntegralValue_FW
0xffe01b90,GetUserSetShutterSPeed_FW
0xffc10294,GetVBatVoltage_FW
0xffe06fb0,GetVideoOutType_FW
0xffc8aa34,GetVRAMHPixelsSize
0xffc8aa34,GetVRAMHPixelsSize_FW
0xffc8aa40,GetVRAMVPixelsSize
0xffc8aa40,GetVRAMVPixelsSize_FW
0xffe0862c,GetYear_FW
0xffdbbfe0,GetZoomActuatorCurrentPosition_FW
0xffdbbfbc,GetZoomActuatorSpeedPPS_FW
0xffe038bc,GetZoomDefaultCommonDriveParam_FW
0xffe037d8,GetZoomDefaultDriveParam_FW
0xffce4748,GetZoomDrivingTime_FW
0xffce3dac,GetZoomLensCurrentPoint
0xffce3dac,GetZoomLensCurrentPoint_FW
0xffdbcdf4,GetZoomLensCurrentPosition
0xffce3d84,GetZoomLensCurrentPosition_FW
0xffce4744,GetZoomLensMechaEdgePosition_FW
0xffe02f5c,GetZoomLensResetPlus_FW
0xffce4194,GetZoomLensTelePoint_FW
0xffe03870,GetZoomNormalDriveParam_FW
0xffce17b8,GetZoomPiSensorLevel_FW
0xffe03824,GetZoomResetDriveParam_FW
0xffdbe2cc,GetZoomResetSensorLevel_FW
0xffce4194,GetZoomTelePoint_FW
0xffc0b920,GiveSemaphore
0xffc0b920,GiveSemaphore_FW
0xffc554ac,HardwareDefect_FW
0xffc5545c,HardwareDefectWithRestart_FW
0xffcba828,InactivateAdjLog_FW
0xffce799c,InitializeAdjustmentFunction_FW
0xffce792c,InitializeAdjustmentSystem_FW
0xffc34988,Initializedccd_FW
0xffe09a30,InitializeDefectAdjustment_FW
0xffc34988,InitializeDigicon_FW
0xffe09ce4,InitializeMechaDevice_FW
0xffd9a2bc,InitializeSoundRec_FW
0xffc34390,InitializeTestRec_FW
0xffe01a60,IsAdjCdsMode_FW
0xffc2eaf0,IsBatteryTemperature_FW
0xffc2eabc,IsCCDTemperature_FW
0xffc54f1c,IsControlEventActive_FW
0xffc2f0b0,IsDUIDFixFlag_FW
0xffe07090,IsEVFDrive_FW
0xffe073c0,IsEvfDriveMode_FW
0xffe06438,IsExStrobeChargeComp_FW
0xffc2f080,IsFactoryMode_FW
0xffce0508,IsFocusLensOutSidePosition_FW
0xffc3fda8,IsLensOutside_FW
0xffcba854,IsLogOutType_FW
0xffc2ea88,IsOpticalTemperature_FW
0xffc7ccc4,IsStrobeChargeCompleted
0xffdbb9e0,IsZoomActuatorResetSensorPlusSide_FW
0xffce44c8,IsZoomLensOutSidePosition_FW
0xffce5c0c,j_BeepDrive_FW
0xffce5c10,j_BeepDriveComp_FW
0xffe032fc,j_ClearZoomDriveParam_FW
0xffd80320,j_E2LatOn_FW
0xffd745e0,j_EF.IsChargeFull_FW
0xffce5f74,j_exec_FW
0xffc13984,j_ExMem.AllocCacheable_FW
0xffc1397c,j_ExMem.AllocUncacheable_FW
0xffc13988,j_ExMem.FreeCacheable_FW
0xffc13980,j_ExMem.FreeUncacheable_FW
0xffc13978,j_ExMem.View_FW
0xffce5c08,j_GetAdChValue_FW
0xffce5c04,j_GetAdVBattBottom_FW
0xffcb901c,j_GetAEIntegWinData_FW
0xffce5c8c,j_GetBatteryCoverClose_FW
0xffc2eb3c,j_GetBatteryTemperature_FW
0xffc2eb38,j_GetCCDTemperature_FW
0xffe018d0,j_GetCdsPreGain_FW
0xffe01928,j_GetCdsPreGainReg_FW
0xffe01ca0,j_GetCurrentAvValue_FW
0xffe01ac0,j_GetCurrentExposureTime_FW
0xffe03d38,j_GetCurrentFocusLensPosition_FW
0xffe03d38,j_GetCurrentFocusPosition_FW
0xffe01ac8,j_GetCurrentShutterSpeed_FW
0xffe03cfc,j_GetCurrentTargetDistance_FW
0xffe030c4,j_GetCurrentZoomLensPoint_FW
0xffe030c0,j_GetCurrentZoomLensPosition_FW
0xffe030c4,j_GetCurrentZoomPoint_FW
0xffe030c0,j_GetCurrentZoomPosition_FW
0xffce5c88,j_GetDialEventId_FW
0xffe03cf4,j_GetFocusDefaultResetPosition_FW
0xffdc1c94,j_GetFocusLensCurrentPosition_FW
