0xff98febc,GetCurrentCaptureModeType_FW
0xff94ec98,GetCurrentDigitalZoomPosition_FW
0xffa5cbdc,GetCurrentEncoderPosition_FW
0xffa6efc0,GetCurrentExposureTime_FW
0xff94eb2c,GetCurrentFocalLength_FW
0xff94eef8,GetCurrentFocusDistance_FW
0xffa713a0,GetCurrentFocusLensPosition_FW
0xff94eb10,GetCurrentOpticalZoomPosition_FW
0xffa6efd8,GetCurrentShutterSpeed_FW
0xffa71348,GetCurrentTargetDistance
0xffa71348,GetCurrentTargetDistance_FW
0xffa708b8,GetCurrentZoomLensDirection_FW
0xffa70e70,GetCurrentZoomLensPoint_FW
0xffa70e84,GetCurrentZoomLensPosition_FW
0xffa755bc,GetDay_FW
0xff92f0b4,GetDefectSpecification_FW
0xff9713f8,GetDialogBoxWindow_FW
0xff9720a0,GetDialogItemPosition_FW
0xff971694,GetDialogItemPositionToDialog_FW
0xff972120,GetDialogItemResolution_FW
0xff9716c8,GetDialogItemResolutionToDialog_FW
0xff94eca4,GetDigitalZoomMagnification_FW
0xff86a150,GetDrive_ClusterSize
0xff86a1c8,GetDrive_FreeClusters
0xff86a18c,GetDrive_TotalClusters
0xff81ff8c,GetEventFlagValue
0xffa6d180,GETEVFEVALUATIONVALUEWITHMECHASHUTTER_FW
0xffa6d36c,GETEVFEVALUATIONVALUEWITHOUTMECHASHUTTER_FW
0xff81a43c,GetFirmwareVersion_FW
0xff94eb44,GetFocalLengthOfTelePosition_FW
0xff94eb38,GetFocalLengthOfWidePosition_FW
0xffa4f04c,GetFocusActuatorCurrentPosition_FW
0xffa71320,GetFocusDefaultResetPosition_FW
0xff970ecc,GetFocusedItemIDOfDialogItem_FW
0xffa65f78,GetFocusLensCurrentPosition_FW
0xffa4f028,GetFocusLensDriverResetDefaultPosition_FW
0xffa4efe8,GetFocusLensDriverResetPosition_FW
0xffa66100,GetFocusLensMoveCompleteTime_FW
0xffa4ee3c,GetFocusLensMoveRange_FW
0xffa6610c,GetFocusLensNdCoefficientPulse_FW
0xffa65fc8,GetFocusLensResetDefaultPosition_FW
0xffa65f8c,GetFocusLensResetPosition_FW
0xffa65fa0,GetFocusLensResetPositionForInside_FW
0xffa65fb4,GetFocusLensResetPositionForOutside_FW
0xffa64c98,GetFocusLensSubjectDistance,(stubs_entry_2.s)
0xffa4eec4,GetFocusLensSubjectDistance_FW
0xffa4eee8,GetFocusLensSubjectDistanceFromLens_FW
0xffa4ef38,GetFocusLensTemperature_FW
0xffa4ecf4,GetFocusPiSensorLevel_FW
0xffa4f13c,GetFocusRegisterCurrentPosition_FW
0xffa71334,GetFocusResetPosition_FW
0xff971488,GetFocusScopeToDialog_FW
0xffa755ec,GetHour_FW
0xffa5dbc4,GetIrisAvEvent_FW
0xff970f04,GetItemHandleOfDialogBox_FW
0xffa555c4,GetLensErrorStatus_FW
0xff964cc8,GetLogicalEventName
0xffa9e490,GetLogToFile_FW
0xff94efa8,GetMacroSupportZoomPoint_FW
0xffa6cf74,GETMAINFLASHEVALUATIONVALUE_FW
0xff967b98,GetMainPowerLockCounter_FW
0xff94ecb0,GetMaxDigitalZoomMagnification_FW
0xff94f0dc,GetMaximumAv_FW
0xff94f124,GetMaximumTv_FW
0xff94eb50,GetMaxOpticalZoomMagnification_FW
0xffa4f824,GetMechaAdjParamData_FW
0xffa4eb0c,GetMechaCircuitCacheDataAll_FW
0xffa5e994,GetMechaShutterStatusEvent_FW
0xff94ef34,GetMFBarData_FW
0xff94f094,GetMinimumAv_FW
0xff94f0b8,GetMinimumAvForZoom_FW
0xff94f100,GetMinimumTv_FW
0xffa7561c,GetMinute_FW
0xffa75190,GetModelId_FW
0xffa75584,GetMonth_FW
0xffa6d410,GETMOVIEEVALUATIONVALUEWITHMECHASHUTTER_FW
0xff94ec8c,GetNumberOfDigitalZoomPosition_FW
0xff94eb04,GetNumberOfOpticalZoomPosition_FW
0xff820d14,GetNumberOfPostedMessages
0xffa6ecc8,GetObClampValue_FW
0xffa4da50,GetOpticalTemperature
0xffa4da50,GetOpticalTemperature_FW
0xff94eb1c,GetOpticalZoomTelePosition_FW
0xff974b44,GetPaletteFromPhysicalScreen_FW
0xffa74958,GetPixelsOfViewangle_FW
0xffa6d024,GETPREFLASHEVALUATIONVALUE_FW
0xff94f2d4,GetProgramShiftLimitNegative_FW
0xff94f2b0,GetProgramShiftLimitPositive_FW
0xff825ca4,GetPropertyCase,(stubs_entry_2.s)
0xff971e58,GetPropertyFromDialogItem_FW
