0xffdf939c,GetAEIntegralValueWithFix_FW
0xffdf950c,GetAllAEIntegralAllValueWithFix_FW
0xffcb4ad0,GetAttributeFromDialogItem_FW
0xffde0734,GetBatteryTemperature
0xffde0734,GetBatteryTemperature_FW
0xffc07f48,GetBuildDate_FW
0xffc07f60,GetBuildTime_FW
0xffde0720,GetCCDTemperature
0xffde0720,GetCCDTemperature_FW
0xffdfb110,GetCdsGainValue_FW
0xffc0930c,GetCh_FW
0xffe02c54,GetContinuousMovieJpegVRAMData_FW
0xffe021b8,GetContinuousVRAMData_FW
0xffe02ab4,GetContinuousVRAMDataWithRingBuffer_FW
0xffdfad7c,GetCurrentAdjImgDriveType_FW
0xffdfb6d0,GetCurrentAvValue
0xffdfb6d0,GetCurrentAvValue_FW
0xffc18404,GetCurrentCaptureModeType_FW
0xffdfb374,GetCurrentExposureTime_FW
0xffdfdb80,GetCurrentFocusLensPosition_FW
0xffdfad8c,GetCurrentImgDrvMode_FW
0xffdfb38c,GetCurrentShutterSpeed_FW
0xffdfdb28,GetCurrentTargetDistance
0xffdfdb28,GetCurrentTargetDistance_FW
0xffdfd1dc,GetCurrentZoomLensDirection_FW
0xffdfd1c8,GetCurrentZoomLensPoint_FW
0xffdfd1b4,GetCurrentZoomLensPosition_FW
0xffe036e8,GetDay_FW
0xffd42cdc,GetDefectCount_FW
0xffddc4ec,GetDialEventId_FW
0xffcb3fb0,GetDialogBoxWindow_FW
0xffcb4c30,GetDialogItemPosition_FW
0xffcb4138,GetDialogItemPositionToDialog_FW
0xffcb4cb0,GetDialogItemResolution_FW
0xffcb416c,GetDialogItemResolutionToDialog_FW
0xffdffefc,GetDigiconData_FW
0xffe3ae00,GetDrive_ClusterSize
0xffe3ae78,GetDrive_FreeClusters
0xffe3ae3c,GetDrive_TotalClusters
0xffea7ff8,GetEventFlagValue
0xffe009d4,GetExStrobeID_FW
0xffc07f84,GetFirmwareVersion_FW
0xffdfdb00,GetFocusDefaultResetPosition_FW
0xffcb3a5c,GetFocusedItemIDOfDialogItem_FW
0xffe68528,GetFocusLensCurrentPosition_FW
0xffe68640,GetFocusLensLoadCamTable_FW
0xffe685f8,GetFocusLensLoadSubjectDistance_FW
0xffe685f0,GetFocusLensPositionRatio_FW
0xffe68388,GetFocusLensPullInMaxSpeed_FW
0xffe6839c,GetFocusLensPullOutMaxSpeed_FW
0xffe68578,GetFocusLensResetDefaultPosition_FW
0xffe6853c,GetFocusLensResetPosition_FW
0xffe68550,GetFocusLensResetPositionForInside_FW
0xffe68564,GetFocusLensResetPositionForOutside_FW
0xffe685a0,GetFocusLensSubjectDistance,(stubs_entry_2.s)
0xffe685a0,GetFocusLensSubjectDistance_FW
0xffe66a8c,GetFocusLensSubjectDistanceFromLens
0xffe685c4,GetFocusLensSubjectDistanceFromLens_FW
0xffe685e8,GetFocusLensSubjectDistanceNumber_FW
0xffe70244,GetFocusPiSensorLevel_FW
0xffdfdb14,GetFocusResetPosition_FW
0xffcb4060,GetFocusScopeToDialog_FW
0xffe03718,GetHour_FW
0xffddc7e8,GetHVSw_FW
0xffe6d46c,GetIrisAv_FW
0xffcb3a94,GetItemHandleOfDialogBox_FW
0xffddd6e0,GetKbdState
0xffdd8334,GetLBOffset_FW
0xffe6f3d0,GetLensErrorStatus_FW
0xffe0991c,GetLogData_FW
0xffe09a0c,GetLogDataOnlyAddMemory_FW
0xffec7a3c,GetLogicalEventName
0xffea5a54,GetLogToFile_FW
0xffecc040,GetMainPowerLockCounter_FW
0xffe71d98,GetMechaShutterStatus_FW
0xffe03748,GetMinute_FW
0xffd5c42c,GetMontblancVSize_FW
0xffe036b0,GetMonth_FW
0xffe02b80,GetMovieJpegVRAMHPixelsSize_FW
0xffe02b8c,GetMovieJpegVRAMVPixelsSize_FW
0xffea8c90,GetNumberOfPostedMessages
0xffdfb08c,GetObClampValue_FW
0xffde070c,GetOpticalTemperature
0xffde070c,GetOpticalTemperature_FW
0xffcb65e4,GetPaletteFromPhysicalScreen_FW
0xffe028e8,GetPixelsOfViewangle_FW
0xffcb49e8,GetPropertyFromDialogItem_FW
0xffcb36e0,GetPropertyFromDialogItemWithID_FW
0xffddc4c0,GetSDDetect_FW
0xffddc4d4,GetSDProtect
0xffddc4d4,GetSDProtect_FW
0xffe03778,GetSecond_FW
0xffec42c8,GetSelfControllerHandle_FW
0xffea93e0,GetSemaphoreValue
0xffdfb4d0,GetShutterSpeedRegularMaxLimit_FW
0xffdfb4f4,GetShutterSpeedRegularMinLimit_FW
0xffea816c,GetSRAndDisableInterrupt
0xffc09370,GetStringWithPrompt_FW
0xffe01e10,GetSumYOfVRAMCenterLine_FW
0xffddc3d4,GetSwitchStatus_FW
0xffc08748,GetSystemTime_FW
0xffeb6370,GetTimeOfSystem_FW
0xffe0a79c,GetTransparentMemory_FW
0xffe0a7f4,GetTransparentMemoryPosition_FW
0xffe0a77c,GetTransparentMemorySize_FW
0xffe04138,GetUnpackCrwIntegralValue_FW
0xffdfb4c0,GetUserSetShutterSPeed_FW
0xffe01a04,GetVideoOutType_FW
0xffe020d8,GetVRAMHPixelsSize
0xffe020d8,GetVRAMHPixelsSize_FW
0xffe020e4,GetVRAMVPixelsSize
0xffe020e4,GetVRAMVPixelsSize_FW
0xffe03678,GetYear_FW
0xffe762fc,GetZoomActuatorCurrentPosition_FW
0xffe762e8,GetZoomActuatorSpeedPPS_FW
0xffe79288,GetZoomLensCurrentPoint
0xffe79288,GetZoomLensCurrentPoint_FW
0xffe7929c,GetZoomLensCurrentPosition
0xffe7929c,GetZoomLensCurrentPosition_FW
0xffdfd644,GetZoomLensElecCurrent_FW
0xffdfd550,GetZoomLensResetPlus_FW
0xffdfd578,GetZoomLensSpeed_FW
0xffe792b0,GetZoomLensTelePoint_FW
0xffe7027c,GetZoomPiSensorLevel_FW
0xffea92f4,GiveSemaphore
0xffea92f4,GiveSemaphore_FW
0xffecc238,HardwareDefect_FW
0xffecc268,HardwareDefectWithRestart_FW
0xffe09af4,InactivateAdjLog_FW
