0xffc5c470,j_PTM_BackupUIProperty_FW
0xffc5c474,PTM_RestoreUIProperty_FW
0xffc5e6a4,PB2Rec
0xffc5e6d4,Rec2PB
0xffc5f114,task_InitFileModules
0xffc5f14c,task_CommonDrivers
0xffc61d9c,SetCurrentCaptureModeType
0xffc61d9c,SetCurrentCaptureModeType_FW
0xffc61dd8,GetCurrentCaptureModeType_FW
0xffc65314,UIFS_StartMovieRecord_FW
0xffc65348,UIFS_StopMovieRecord_FW
0xffc65d24,task_FaceFrame
0xffc65f58,task_DSITask
0xffc662b4,TurnOnBackLight
0xffc662cc,TurnOffBackLight
0xffc6e854,StartGUISystem_FW
0xffc6e994,atol_FW
0xffc6e9a0,strcat
0xffc6e9dc,strncmp
0xffc6ea28,strchr
0xffc6ea4c,strrchr
0xffc6ebb4,memcpy
0xffc6ebb4,memcpy_FW
0xffc6ee28,strftime
0xffc6f420,mktime_ext
0xffc73808,task_WBIntegTask
0xffc77de0,task_AfIntSrvTask
0xffc8552c,task_BrtMsrTask
0xffc8d018,ExpCtrlTool.SetExpMode_FW
0xffc905d4,task_ExpDrv
0xffc905d4,task_ExpDrvTask
0xffc93510,task_WBCtrl
0xffc94424,task_OBCtrlTask
0xffc95424,task_DetectMoveTask
0xffc96fe0,task_DevelopModule
0xffc9735c,task_EFChargeT
0xffc97624,EF.IsChargeFull_FW
0xffc97624,IsStrobeChargeCompleted
0xffc9a060,E2LatOn_FW
0xffc9b47c,task_SsgMainTask
0xffc9b6a0,task_SsgPeriodTask
0xffc9e45c,task_TgTask
0xffca1ca8,LiveImageTool.GetDzoomPosition_FW
0xffca1ddc,GetVRAMHPixelsSize
0xffca1de8,GetVRAMVPixelsSize
0xffca2874,task_SyncPeriod
0xffca28fc,task_SynchTask
0xffca48dc,task_SesnMngr
0xffca53fc,task_TimerUtility
0xffca5af0,COMFACHK_StartService_FW
0xffca5b40,COMFACHK_StopService_FW
0xffca5be0,COMFACHK_StartSendData_FW
0xffca5c1c,COMFACHK_StartSendLargeData_FW
0xffca5c80,COMFACHK_GetTransferTime_FW
0xffca5ce0,COMFACHK_SetSendDataSize_FW
0xffcaea20,task_PreLoadTask
0xffcb3120,task_TrnsCtrlTask
0xffcb5b84,task_RapiRevr
0xffcb7ea0,j_InitializeDCPClassFunctions_FW
0xffcb81e0,InitializeDCPClassFunctions_FW
0xffcba608,task_SRM
0xffcc3cc4,LcdCon_SetLcdDriver_FW
0xffcc3d2c,LcdCon_SetLcdAdjParameter_FW
0xffcc3dcc,LcdCon_GetLcdAdjParameter_FW
0xffcc3f30,LcdCon_ShowLcdAdjParameter_FW
0xffcc3f98,LcdCon_SaveLcdAdjParameter_FW
0xffcc3fb4,LcdCon_IsNewLcd_FW
0xffcc3fc8,LcdCon_IsNewLcdType_FW
0xffcc3fdc,LcdCon_SetLcdParameter_FW
0xffcc40d4,LcdCon_GetLcdParameter_FW
0xffcc4188,LcdCon_ShowLcdParameter_FW
0xffcc4294,LcdCon_SaveLcdParameter_FW
0xffcc43b0,LcdCon_SetLcdBackLightBrightness_FW
0xffcc43fc,LcdCon_SetLcdBackLightParameter_FW
0xffcc4468,LcdCon_GetLcdBackLightParameter_FW
0xffcc44c0,LcdCon_ShowLcdBackLightParameter_FW
0xffcc4528,LcdCon_SaveLcdBackLightParameter_FW
0xffccd32c,task_Fencing
0xffcd6134,LoadParamDataFromAdjTableBin_FW
0xffcd6238,LoadDataFromAdjTableBin_FW
